# WebDab output on Thu Jun 14 15:40:21 2018
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
ATL;2005;N14 G_Shipping;NOx;Gg;858.94748113884
BLS;2005;N14 G_Shipping;NOx;Gg;105.297851939707
BAS;2005;N14 G_Shipping;NOx;Gg;384.393676410163
ATL;2005;N14 G_Shipping;PM10;Gg;59.4737965958731
NOS;2005;N14 G_Shipping;PM10;Gg;40.4097505665761
MED;2005;N14 G_Shipping;PM10;Gg;98.2798483115061
BAS;2005;N14 G_Shipping;PM10;Gg;16.5619282577442
BLS;2005;N14 G_Shipping;PM10;Gg;6.50895549826485
ATL;2005;N14 G_Shipping;PM2.5;Gg;56.6083665225087
NOS;2005;N14 G_Shipping;PM2.5;Gg;37.8195742490049
BAS;2005;N14 G_Shipping;PM2.5;Gg;15.5663136341779
BLS;2005;N14 G_Shipping;PM2.5;Gg;6.18165796566368
MED;2005;N14 G_Shipping;PM2.5;Gg;92.1093950818771
MED;2005;N14 G_Shipping;PMcoarse;Gg;6.170453229629
ATL;2005;N14 G_Shipping;PMcoarse;Gg;2.8654300733644
NOS;2005;N14 G_Shipping;PMcoarse;Gg;2.5901763175712
BAS;2005;N14 G_Shipping;PMcoarse;Gg;0.995614623566395
BLS;2005;N14 G_Shipping;PMcoarse;Gg;0.32729753260117
MED;2005;N14 G_Shipping;SOx;Gg;693.020248623961
NOS;2005;N14 G_Shipping;SOx;Gg;387.555210197841
BAS;2005;N14 G_Shipping;SOx;Gg;176.636261068223
ATL;2005;N14 G_Shipping;SOx;Gg;431.885767284997
BLS;2005;N14 G_Shipping;SOx;Gg;43.071398712419
BLS;2006;N14 G_Shipping;CO;Gg;9.44977441540239
NOS;2006;N14 G_Shipping;CO;Gg;65.0564221978768
ATL;2006;N14 G_Shipping;CO;Gg;75.5944736054496
MED;2006;N14 G_Shipping;CO;Gg;128.936508923767
BAS;2006;N14 G_Shipping;CO;Gg;24.0648439224439
NOS;2006;N14 G_Shipping;NMVOC;Gg;7.09115001956857
BLS;2006;N14 G_Shipping;NMVOC;Gg;1.03002541127886
MED;2006;N14 G_Shipping;NMVOC;Gg;14.0540794726906
ATL;2006;N14 G_Shipping;NMVOC;Gg;8.23979762299401
BAS;2006;N14 G_Shipping;NMVOC;Gg;2.62306798754638
BLS;2006;N14 G_Shipping;NOx;Gg;110.252480838612
ATL;2006;N14 G_Shipping;NOx;Gg;902.973077311994
BAS;2006;N14 G_Shipping;NOx;Gg;375.156554346212
NOS;2006;N14 G_Shipping;NOx;Gg;827.99231431062
MED;2006;N14 G_Shipping;NOx;Gg;1552.18294114576
ATL;2006;N14 G_Shipping;PM10;Gg;62.5425003379266
BAS;2006;N14 G_Shipping;PM10;Gg;14.9279248559643
MED;2006;N14 G_Shipping;PM10;Gg;104.91406749935
BLS;2006;N14 G_Shipping;PM10;Gg;6.85430660226258
NOS;2006;N14 G_Shipping;PM10;Gg;42.5674902150245
BLS;2006;N14 G_Shipping;PM2.5;Gg;6.50974151446152
MED;2006;N14 G_Shipping;PM2.5;Gg;98.4119033103291
NOS;2006;N14 G_Shipping;PM2.5;Gg;39.8694269150309
BAS;2006;N14 G_Shipping;PM2.5;Gg;14.0140104024869
ATL;2006;N14 G_Shipping;PM2.5;Gg;59.5236350774596
ATL;2006;N14 G_Shipping;PMcoarse;Gg;3.018865260467
NOS;2006;N14 G_Shipping;PMcoarse;Gg;2.6980632999936
BLS;2006;N14 G_Shipping;PMcoarse;Gg;0.34456508780106
BAS;2006;N14 G_Shipping;PMcoarse;Gg;0.9139144534774
MED;2006;N14 G_Shipping;PMcoarse;Gg;6.50216418902102
BLS;2006;N14 G_Shipping;SOx;Gg;46.0186407292223
BAS;2006;N14 G_Shipping;SOx;Gg;163.318135192382
MED;2006;N14 G_Shipping;SOx;Gg;749.636976680591
ATL;2006;N14 G_Shipping;SOx;Gg;458.074224484083
NOS;2006;N14 G_Shipping;SOx;Gg;404.600048197618
MED;2007;N14 G_Shipping;CO;Gg;114.177670398214
BLS;2007;N14 G_Shipping;CO;Gg;8.68148789453143
ATL;2007;N14 G_Shipping;CO;Gg;68.767671275084
NOS;2007;N14 G_Shipping;CO;Gg;58.9356134529946
BAS;2007;N14 G_Shipping;CO;Gg;21.302027719783
ATL;2007;N14 G_Shipping;NMVOC;Gg;7.49567616898416
NOS;2007;N14 G_Shipping;NMVOC;Gg;6.42398186637641
MED;2007;N14 G_Shipping;NMVOC;Gg;12.4453660734053
BAS;2007;N14 G_Shipping;NMVOC;Gg;2.32192102145634
BLS;2007;N14 G_Shipping;NMVOC;Gg;0.946282180503926
ATL;2007;N14 G_Shipping;NOx;Gg;834.705054008338
BAS;2007;N14 G_Shipping;NOx;Gg;347.528392319603
MED;2007;N14 G_Shipping;NOx;Gg;1404.59455589023
BLS;2007;N14 G_Shipping;NOx;Gg;102.569615629903
NOS;2007;N14 G_Shipping;NOx;Gg;766.784226861798
BLS;2007;N14 G_Shipping;PM10;Gg;6.35332190134496
BAS;2007;N14 G_Shipping;PM10;Gg;12.1149136198302
